full_name,a,e,i,om,w,q,ad,per_y,H,neo,pha,rot_per
185357 (2006 VP78),3.071466926731725,0.0733832797180723,3.323769732201311,157.4312621064159,286.7162738513607,2.846072610102563,3.296861243360887,5.38303206927052,15.69,N,N,
195912 (2002 RJ71),3.058348576218457,0.1434724030249113,8.139968993609749,232.8613518973539,134.1240767457639,2.619559956700579,3.497137195736335,5.34858222103855,15.98,N,N,
 15208 (1979 MW1),2.64277186711359,0.1810003136519443,4.650890895957021,244.4799100696881,127.2444338600113,2.164429330255496,3.121114403971684,4.29633081856786,14.45,N,N,
223651 (2004 OZ2),2.774924871052987,0.2059414931824421,3.308300457755249,222.5325587856285,102.6108151656347,2.203452699639239,3.346397042466736,4.62258649766211,16.66,N,N,
459879 (2014 JH22),2.328751477219346,0.2188664958336545,5.993399795586053,83.72745500067704,200.6293822986179,1.819065801732901,2.838437152705791,3.55379946263427,17.78,N,N,
108663 (2001 NE21),2.477741767341074,0.2457833830804922,3.543778100816581,166.430361213699,221.2933414008132,1.868754013364147,3.086729521318001,3.90024837851354,16.03,N,N,
273893 (2007 HL33),2.597202537710782,0.1174852477507608,12.41603021977779,50.66438963668944,92.32903569312396,2.292069554108926,2.902335521312638,4.18568874273023,16.15,N,N,
180892 (2005 JZ144),2.616208473717708,0.2076726726324016,4.535548569070685,86.94409058710774,233.9365137122598,2.072893467817216,3.159523479618201,4.2317180530932,15.91,N,N,
 21293 (1996 VS8),2.297127218105566,0.2351951823796594,5.34249259940243,84.27975981655092,253.5935998571615,1.756853963093948,2.837400473117185,3.48165531652134,14.87,N,N,
 31475 Robbacchus (1999 CH42),2.285753800382547,0.1210154751103988,6.005819853628362,346.2992668406504,272.6807701551774,2.009142218243853,2.56236538252124,3.45583006063698,14.8,N,N,
241589 (1997 SG14),5.164636865274158,0.07858608274104424,10.41464300634488,359.2385265685502,345.0341881654581,4.758768285252275,5.570505445296041,11.7372914475492,13.21,N,N,
322352 (2011 JP20),2.952081105765231,0.01213917941934559,2.988104583323751,128.7218553174681,118.3828555970024,2.916245263561887,2.987916947968575,5.07224975698382,16.68,N,N,
360844 (2005 OG17),2.863818118355634,0.1040398404910869,6.778862473243572,212.4617269651517,183.5496231001963,2.565866938126429,3.161769298584839,4.84647917386305,16.34,N,N,
304013 (2006 DV5),2.348399767223319,0.1745396942365589,10.03365708406317,121.615662082259,114.6583838191951,1.938510789906954,2.758288744539683,3.59887071343939,16.9,N,N,
173774 (2001 SY11),2.765506837924403,0.02100439836014187,4.715921848657703,29.80623698997975,203.643240388233,2.707419030632943,2.823594645215864,4.59907304373183,15.77,N,N,
235471 (2004 BZ15),3.171434961203557,0.1244792625380093,11.44585653881174,113.5093817922347,97.62708554688652,2.776657076045678,3.566212846361436,5.64796395537586,15.07,N,N,
 45769 (2000 LP36),2.748850859696296,0.1541977465946766,13.13604247782491,132.3212759408142,207.3574892906769,2.324984251406288,3.172717467986305,4.55758701060316,14.19,N,N,
242528 (2005 AD48),2.625266009556986,0.2806360799245825,6.868073957559513,118.020977733603,117.4194771556405,1.888521647875662,3.36201037123831,4.25371291342538,17.14,N,N,
139864 (2001 RW66),3.113550300372398,0.1211424731853118,9.11953418621458,325.882549073894,12.5893959850278,2.736367116598415,3.49073348414638,5.49404271543395,14.98,N,N,
419209 (2009 UJ110),2.777315408991549,0.2063323417248284,7.225196808872806,236.2772289222183,198.4062407086419,2.204265416945873,3.350365401037225,4.62856117184466,17.09,N,N,
 47924 (2000 GS113),2.997499157929444,0.1355809714107774,12.00190283781159,214.3221801846159,255.1045015111316,2.591095310294383,3.403903005564505,5.1897544135825,14.16,N,N,7.03
 32398 (2000 QT218),3.18738532836863,0.09775212670361248,5.639301166431815,350.3686983997825,265.0934158814791,2.875811633896704,3.498959022840556,5.69062616152189,14.34,N,N,
 68712 (2002 CO249),2.343683405301627,0.155311865315291,4.381803707029272,209.1481842239975,74.31371056149369,1.979681563915738,2.707685246687516,3.58803457810175,15.82,N,N,
244947 (2003 YP81),2.362038802629304,0.2452793889362955,4.95812268669098,69.13099130316931,330.4050261101347,1.782679368476569,2.941398236782038,3.63026847165454,17.06,N,N,
